code_name,p,decoder_name,repeat_id,seed,num_shots,num_failures,logical_error_rate,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,p50_latency_ms_per_shot,p95_latency_ms_per_shot,p99_latency_ms_per_shot,avg_bp_iterations_per_shot,p95_bp_iterations_per_shot,bp_converged_fraction,syndrome_avg_weight,syndrome_p95_weight,syndrome_avg_relative_weight,syndrome_p95_relative_weight,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,code_file,ci_method
bb_n72_k12,0.05,BP-OSD,0,3007,1000,162,0.162,0.1404641118483431,0.18612277688789222,0.03965709999829414,0.0212500008274219,0.1478349995522876,0.2359009991050698,6.825,30.0,0.861,8.395,15.0,0.23319444444444443,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-LSD,0,3007,1000,163,0.163,0.14140399765906392,0.18717523756020027,0.04481689999374794,0.01739999970595818,0.19061500070165482,0.3328139994846423,6.621,30.0,0.861,8.395,15.0,0.23319444444444443,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-OSD,1,3008,1000,176,0.176,0.15364942465804565,0.2008303148405941,0.03969820001839253,0.02049999966402538,0.1390099998388905,0.2157059998899058,7.222,30.0,0.85,8.604,15.0,0.239,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-LSD,1,3008,1000,176,0.176,0.15364942465804565,0.2008303148405941,0.042889300968454336,0.017100001059588976,0.17891000161398551,0.27948299928539194,7.028,30.0,0.85,8.604,15.0,0.239,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-OSD,2,3009,1000,163,0.163,0.14140399765906392,0.18717523756020027,0.03608479999093106,0.01720000000204891,0.13862000032531793,0.21219399975961997,6.733,30.0,0.865,8.699,15.0,0.24163888888888888,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-LSD,2,3009,1000,165,0.165,0.14328467985555532,0.18927924832976667,0.05529589997604489,0.02300000051036477,0.24542000046494647,0.4198219990939831,6.662,30.0,0.865,8.699,15.0,0.24163888888888888,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-OSD,3,3010,1000,168,0.168,0.14610794675394784,0.19243302088046083,0.05306410000775941,0.026449999495525844,0.17895999981192284,0.2798050004821562,7.023,30.0,0.854,8.524,15.0,0.23677777777777775,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-LSD,3,3010,1000,169,0.169,0.14704962548581355,0.193483688631624,0.0651707009965321,0.023749999854771886,0.24003999942578955,0.44521799967696984,6.899,30.0,0.854,8.524,15.0,0.23677777777777775,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-OSD,4,3011,1000,161,0.161,0.13952453255948705,0.18507000969371934,0.051155300043319585,0.023800001144991256,0.1772449996678915,0.28629900012674614,6.628,30.0,0.859,8.366,15.0,0.23238888888888887,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.05,BP-LSD,4,3011,1000,161,0.161,0.13952453255948705,0.18507000969371934,0.13839029999871855,0.02930000027845381,0.3533150011207901,1.6127039992716157,6.495,30.0,0.859,8.366,15.0,0.23238888888888887,0.4166666666666667,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n96_k10,0.01,BP-OSD,0,100007,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.022504899992782157,0.01809999957913533,0.042504999873926856,0.09065099866347733,1.204,2.0,1.0,3.678,10.0,0.076625,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-LSD,0,100007,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.024686299990207772,0.017800000932766125,0.03880500007653599,0.09057199971721268,1.137,2.0,1.0,3.678,10.0,0.076625,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-OSD,1,100008,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.02210549998562783,0.016199999663513154,0.03890499974659178,0.06159500080684657,1.224,2.0,1.0,3.506,10.0,0.07304166666666666,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-LSD,1,100008,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.027130801008752314,0.024700000722077675,0.04552000082185257,0.11929399997825377,1.133,2.0,1.0,3.506,10.0,0.07304166666666666,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-OSD,2,100009,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.01788469997336506,0.014500001270789653,0.029604999781440707,0.09714700083350176,1.258,2.0,0.999,3.762,10.0,0.078375,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-LSD,2,100009,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.01915100005317072,0.014600000213249587,0.030529999366990496,0.057217999001295525,1.166,2.0,0.999,3.762,10.0,0.078375,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-OSD,3,100010,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.01786500003436231,0.016399999367422424,0.03451000065979314,0.05630499941617017,1.252,2.0,1.0,3.868,10.0,0.08058333333333333,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-LSD,3,100010,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.021212100011325674,0.016599999071331695,0.03409999962968868,0.06112899960498905,1.16,2.0,1.0,3.868,10.0,0.08058333333333333,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-OSD,4,100011,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.015631899985237396,0.014700000974698924,0.03130499999315361,0.04987600084859871,1.222,2.0,1.0,3.658,10.0,0.07620833333333334,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,0.01,BP-LSD,4,100011,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.023023199986710097,0.018249999811814632,0.03532999962772007,0.08758500051044385,1.15,2.0,1.0,3.658,10.0,0.07620833333333334,0.20833333333333334,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,bbcode_n96_k10.npz,wilson_95
