code_name,p,repeat_id,seed,num_shots,delta_ler,delta_avg_latency,delta_p95_latency,delta_p99_latency,delta_avg_bp_iterations,delta_bp_converged_fraction,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,syndrome_avg_weight,syndrome_p95_weight
bb_n144_k12,0.01,4,200011,1000,0.0,0.005294200022035497,0.0046949993702583015,-0.005697999749827501,-0.030000000000000027,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,3.9,9.0
bb_n144_k12,0.02,0,201007,1000,0.0,0.0023419000008289004,0.0017900009879666945,-0.05566900135818281,-0.1100000000000001,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.559,15.0
bb_n144_k12,0.02,1,201008,1000,0.0,0.004722914020021597,0.0036050018934475,0.1281869984813961,-0.014999999999999902,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.973,16.0
bb_n144_k12,0.02,2,201009,1000,0.0,0.005962304006970998,0.0063250005950976,0.1341780006441694,-0.0259999999999998,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.86,15.0
bb_n144_k12,0.02,3,201010,1000,0.0,0.0100939050225861,0.009090000185096897,0.065798987943708,-0.04499999999999993,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.956,15.0
bb_n144_k12,0.02,4,201011,1000,0.0,0.0017073950111807998,-0.0007050000021990993,-0.00014099883628720944,-0.02400000000000002,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.891,15.0
bb_n144_k12,0.03,0,202007,1000,0.0,0.0080792070293682,0.0028999485948588005,0.18316400010007766,-0.008999999999999897,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.252,20.0
bb_n144_k12,0.03,1,202008,1000,0.0,-0.0002849970296665977,-0.0077849994340795994,0.21457798849951354,-0.050000000000000266,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.05,19.0
bb_n144_k12,0.03,2,202009,1000,0.0,0.0046357089904632,0.007395000193355192,0.18140600066544715,-0.04300000000000015,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.223,19.0
bb_n144_k12,0.03,3,202010,1000,0.0,0.007891808048952904,0.008910000451578505,0.24368700922423175,-0.020000000000000018,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.143,19.0
bb_n144_k12,0.03,4,202011,1000,0.0,0.005442805955681196,0.0031550006497126984,0.17395501070495842,-0.01100000000000012,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.039,19.0
bb_n144_k12,0.05,0,203007,1000,0.0,0.028232723983819596,0.22989905091890261,0.3169960000013817,0.0,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,16.716,25.0
bb_n144_k12,0.05,1,203008,1000,0.0,0.027545909057152998,0.23458910072804423,0.3666739897744264,-0.004999999999999005,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,17.092,25.049999999999955
bb_n144_k12,0.05,2,203009,1000,0.0,0.027806724037873196,0.20776505043613736,0.35696000986717946,0.0,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,16.558,25.0
bb_n144_k12,0.05,3,203010,1000,0.0,0.0264789139564528,0.2033509505054098,0.38534699910087533,0.0,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,16.862,26.0
bb_n144_k12,0.05,4,203011,1000,0.0,0.021835409017512603,0.21152090012037666,0.3188480090102528,-0.0030000000000001137,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,16.738,25.0
bb_n64_k10,0.01,0,300007,1000,0.0,0.0017995050202443998,0.0001949980287463994,-0.0218169986510474,-0.2889999999999999,0.0,64,10,,32,64,32,64,0.125,0.125,2.286,8.0
bb_n64_k10,0.01,1,300008,1000,0.0,0.005500910081536799,0.0012999972568651028,0.009671001098467899,-0.359,0.0,64,10,,32,64,32,64,0.125,0.125,2.494,8.0
bb_n64_k10,0.01,2,300009,1000,0.0,0.0038948049968894997,0.0018949999684991989,0.005313000328897102,-0.393,0.0,64,10,,32,64,32,64,0.125,0.125,2.41,8.0
bb_n64_k10,0.01,3,300010,1000,0.0,0.0059491989086382,0.0017150001440313992,0.0225010003305215,-0.1629999999999998,0.0,64,10,,32,64,32,64,0.125,0.125,2.388,8.0
bb_n64_k10,0.01,4,300011,1000,0.0,0.0057979999837698,0.0041049985156859994,0.0243630002478313,-0.22199999999999998,0.0,64,10,,32,64,32,64,0.125,0.125,2.342,8.0
bb_n64_k10,0.02,0,301007,1000,0.0,-0.0024210029750974995,-0.0111999996988743,-0.003175003275828314,-0.375,0.0,64,10,,32,64,32,64,0.125,0.125,4.454,10.0
bb_n64_k10,0.02,1,301008,1000,0.0,0.003538600001775201,0.0032950013519439,0.03578199944968241,-0.23599999999999977,0.0,64,10,,32,64,32,64,0.125,0.125,4.408,10.099999999999907
bb_n64_k10,0.02,2,301009,1000,0.0,0.004132101956202,0.0049799999032984,0.048047999134723685,-0.44700000000000006,0.0,64,10,,32,64,32,64,0.125,0.125,4.454,12.0
bb_n64_k10,0.02,3,301010,1000,0.0,0.002873605995773699,-0.002314999346708601,0.09511400046903848,-0.3370000000000002,0.0,64,10,,32,64,32,64,0.125,0.125,4.062,10.0
bb_n64_k10,0.02,4,301011,1000,0.0,0.005489001969181102,0.0040649995753483,0.06485099971541769,-0.3799999999999999,0.0,64,10,,32,64,32,64,0.125,0.125,4.28,10.0
bb_n64_k10,0.03,0,302007,1000,0.0,0.008952706071795501,0.0417349999224825,0.1388600008067443,-0.6149999999999998,0.0,64,10,,32,64,32,64,0.125,0.125,6.152,12.0
bb_n64_k10,0.03,1,302008,1000,0.0,0.004020797938210301,0.0015449986676685026,0.0761719992260623,-0.4179999999999997,0.0,64,10,,32,64,32,64,0.125,0.125,6.274,12.0
bb_n64_k10,0.03,2,302009,1000,0.0,0.0081971989857266,0.028380049661791,0.10650899788743118,-0.5350000000000001,0.0,64,10,,32,64,32,64,0.125,0.125,6.046,12.0
bb_n64_k10,0.03,3,302010,1000,0.0,-0.003960798983826001,0.024210001538449405,0.0745150007969641,-0.4169999999999998,0.0,64,10,,32,64,32,64,0.125,0.125,6.058,12.0
bb_n64_k10,0.03,4,302011,1000,0.0,0.009581304013408898,0.058349048322270614,0.17922699980772422,-0.3190000000000004,0.0,64,10,,32,64,32,64,0.125,0.125,6.35,12.0
bb_n64_k10,0.05,0,303007,1000,0.0010000000000000009,0.011468905990113909,0.10119504941030755,-0.13078299945846095,-0.33699999999999974,0.0,64,10,,32,64,32,64,0.125,0.125,9.044,16.0
bb_n64_k10,0.05,1,303008,1000,0.0,0.011812803060820401,0.044934999277756904,0.1419029910357491,-0.2919999999999998,0.0,64,10,,32,64,32,64,0.125,0.125,9.276,16.0
bb_n64_k10,0.05,2,303009,1000,0.0,0.0106294029865239,0.0550249986190465,0.0844650008366441,-0.3260000000000005,0.0,64,10,,32,64,32,64,0.125,0.125,9.286,16.0
bb_n64_k10,0.05,3,303010,1000,0.0,0.009331004019259098,0.06989500107010832,0.10443000081068021,-0.488999999999999,0.0,64,10,,32,64,32,64,0.125,0.125,8.892,16.0
bb_n64_k10,0.05,4,303011,1000,0.0,0.011998810025033897,0.06437499923777071,0.10725199925218487,-0.375,0.0,64,10,,32,64,32,64,0.125,0.125,9.094,16.0
bb_n80_k6,0.01,0,400007,1000,0.0,0.005705103001673801,0.0009000013051263002,0.0012039985267618958,-0.16900000000000004,0.0,80,6,,40,80,40,80,0.1,0.1,2.878,8.0
bb_n80_k6,0.01,1,400008,1000,0.0,0.005428698013929499,0.0003900012416124983,0.029970000286993898,-0.13400000000000012,0.0,80,6,,40,80,40,80,0.1,0.1,2.914,8.0
bb_n80_k6,0.01,2,400009,1000,0.0,0.005595396938588201,0.0025949997507268008,0.0191200009612656,-0.12200000000000011,0.0,80,6,,40,80,40,80,0.1,0.1,2.978,8.0
bb_n80_k6,0.01,3,400010,1000,0.0,0.003309598991108999,0.00020499983293120055,0.037962001188134295,-0.18700000000000006,0.0,80,6,,40,80,40,80,0.1,0.1,3.006,8.0
bb_n80_k6,0.01,4,400011,1000,0.0,0.0010266029912600009,-0.0022849993001728026,-0.015599998750985902,-0.1060000000000001,0.0,80,6,,40,80,40,80,0.1,0.1,2.94,8.0
bb_n80_k6,0.02,0,401007,1000,0.0,0.0005289040473143991,-0.0018999999156222025,-0.0374649991863406,-0.19399999999999995,0.0,80,6,,40,80,40,80,0.1,0.1,5.692,12.0
bb_n80_k6,0.02,1,401008,1000,0.0,0.0015848959683354008,-3.000004653589891e-05,-0.015357000847870991,-0.2729999999999999,0.0,80,6,,40,80,40,80,0.1,0.1,5.414,12.0
bb_n80_k6,0.02,2,401009,1000,0.0,0.0010770040262286992,-0.0015899994650680968,-0.0490810003611845,-0.2390000000000001,0.0,80,6,,40,80,40,80,0.1,0.1,5.594,12.0
bb_n80_k6,0.02,3,401010,1000,0.0,0.004915703975711901,0.0038700005461578986,0.025087999947572395,-0.14200000000000013,0.0,80,6,,40,80,40,80,0.1,0.1,5.644,12.0
bb_n80_k6,0.02,4,401011,1000,0.0,0.0017658989909251008,0.0006049991498003025,0.021417999232653508,-0.15100000000000002,0.0,80,6,,40,80,40,80,0.1,0.1,5.558,12.0
bb_n80_k6,0.03,0,402007,1000,0.0,2.210105230910156e-05,-0.015330950282077697,0.0640069998553372,-0.20999999999999996,0.0,80,6,,40,80,40,80,0.1,0.1,7.818,16.0
bb_n80_k6,0.03,1,402008,1000,0.0,0.009403809033756302,0.0089200011643698,0.1660060008725849,-0.28200000000000003,0.0,80,6,,40,80,40,80,0.1,0.1,7.722,14.0
bb_n80_k6,0.03,2,402009,1000,0.0,0.005701001016859601,0.0069450005867112,0.1462180000089574,-0.254,0.0,80,6,,40,80,40,80,0.1,0.1,7.788,14.0
bb_n80_k6,0.03,3,402010,1000,0.0,0.002116695979566499,-0.008560000969737205,0.05979301016850519,-0.16999999999999993,0.0,80,6,,40,80,40,80,0.1,0.1,7.676,16.0
bb_n80_k6,0.03,4,402011,1000,0.0,0.00013929201850260142,-0.005129998862685101,0.12168400080554417,-0.16100000000000003,0.0,80,6,,40,80,40,80,0.1,0.1,7.864,14.0
bb_n80_k6,0.05,0,403007,1000,0.0,0.0186268129746167,0.11175404952155082,0.13445998974930257,-0.22100000000000009,0.0,80,6,,40,80,40,80,0.1,0.1,11.372,18.0
bb_n80_k6,0.05,1,403008,1000,0.0,0.01784571005373431,0.10637500045049836,0.19278600135294266,-0.12199999999999989,0.0,80,6,,40,80,40,80,0.1,0.1,11.338,18.0
bb_n80_k6,0.05,2,403009,1000,0.0,0.0295836149616662,0.17328500025541843,0.25099500024225574,-0.09399999999999942,0.0,80,6,,40,80,40,80,0.1,0.1,11.384,18.0
bb_n80_k6,0.05,3,403010,1000,0.0,0.020909814062179108,0.13447095043375162,0.1464049894093477,-0.14000000000000057,0.0,80,6,,40,80,40,80,0.1,0.1,11.41,18.0
bb_n80_k6,0.05,4,403011,1000,0.0,0.019167807964549893,0.1023999500830543,0.1657219887420071,-0.20500000000000007,0.0,80,6,,40,80,40,80,0.1,0.1,11.314,18.0
bb_n108_k4,0.01,0,500007,1000,0.0,0.001510398022219299,-0.0025999997887993995,-0.005876999457541401,-0.06400000000000006,0.0,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,4.286,12.0
