nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,4.0,49,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.0022159787776367358,0.04879660032994319,0.0001887937890400022,0.05084322977157768,0.045758906794419914,0.0030661586037589693,0.04940327180306089,0.0013964370009489357,0.2230591310071759,nan,nan,0.3148976730008144
4,16,4.0,49,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.0023908291437564635,0.05159988233966106,0.00019435270392533822,0.05084322977157768,0.05084322977157768,0.0033297492188647743,0.051025751258472855,0.0013964370009489357,0.2230591310071759,nan,nan,0.2812712650047615
4,16,5.0,81,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,0.0002751497468031671,0.013778924423731983,7.872573873228115e-07,0.048432210483785265,0.004843221048378527,0.00031631966296059405,0.01373759472606513,0.0013964370009489357,0.2230591310071759,nan,nan,0.1407810639939271
4,16,5.0,81,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,0.0005427227103591592,0.033128171540229574,3.0050747032354727e-06,0.048432210483785265,0.009686442096757054,0.0006307610210598177,0.0331988864043312,0.0013964370009489357,0.2230591310071759,nan,nan,0.3050593099906109
4,16,5.0,81,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,0.0007957408114113078,0.02236789758171141,6.250535410316011e-06,0.048432210483785265,0.014529663145135579,0.0009414230559446216,0.022297086756947002,0.0013964370009489357,0.2230591310071759,nan,nan,0.18716552402474917
4,16,5.0,81,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.0010284399015366471,0.02593585043993084,9.94307293807665e-06,0.048432210483785265,0.019372884193514107,0.0012463719173370098,0.02607752806106974,0.0013964370009489357,0.2230591310071759,nan,nan,0.023021247005090117
4,16,5.0,81,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.0012368843382988398,0.02851194012801,1.3441951099934206e-05,0.048432210483785265,0.024216105241892633,0.0015436512498271614,0.028613093083670004,0.0013964370009489357,0.2230591310071759,nan,nan,0.05791213799966499
4,16,5.0,81,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.001419514728837561,0.023297180816631836,1.617519533571225e-05,0.048432210483785265,0.029059326290271158,0.001831313639091248,0.02334227120592156,0.0013964370009489357,0.2230591310071759,nan,nan,0.2798193880007602
4,16,5.0,81,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.0015775196729762558,0.02296775598000588,1.775203497459295e-05,0.048432210483785265,0.03390254733864968,0.0021074672304272454,0.02315617715961217,0.0013964370009489357,0.2230591310071759,nan,nan,0.016827163024572656
4,16,5.0,81,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.0017148995903963045,0.021904882943955966,1.803461394371076e-05,0.048432210483785265,0.038745768387028215,0.002370327281528156,0.02187703285520345,0.0013964370009489357,0.2230591310071759,nan,nan,0.02430229098536074
4,16,5.0,81,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.001838100828979202,0.018433826957292537,1.7154227894035656e-05,0.048432210483785265,0.04358898943540674,0.0026182607627153825,0.018532326811065158,0.0013964370009489357,0.2230591310071759,nan,nan,0.02645596899674274
4,16,5.0,81,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.001955159181740547,0.023355435606391216,1.5470393742389204e-05,0.048432210483785265,0.048432210483785265,0.002849813246094651,0.023316833408751077,0.0013964370009489357,0.2230591310071759,nan,nan,0.021130048000486568
4,16,6.0,113,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,9.308377302979477e-05,0.006730859727717762,3.0096835705258327e-07,0.04734857870733524,0.004734857870733525,0.0003169596702840488,0.0067152702016851145,0.0013964370009489357,0.2230591310071759,nan,nan,0.6862709189881571
4,16,6.0,113,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,0.0001830616842827527,0.014064798134332741,1.1197808878962814e-06,0.04734857870733524,0.00946971574146705,0.0006319121301715101,0.014064877366257804,0.0013964370009489357,0.2230591310071759,nan,nan,1.1385195099865086
4,16,6.0,113,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,0.0002673259346226445,0.011292021735636265,2.232477149312902e-06,0.04734857870733524,0.014204573612200571,0.0009428508454630653,0.011283578981186378,0.0013964370009489357,0.2230591310071759,nan,nan,1.2887491669971496
4,16,6.0,113,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.00034417662045887115,0.013582370283196575,3.347117276201248e-06,0.04734857870733524,0.0189394314829341,0.001247781571257417,0.013541372637175468,0.0013964370009489357,0.2230591310071759,nan,nan,1.1531135860132053
4,16,6.0,113,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.0004130870810955361,0.018389354504812983,4.189109348497322e-06,0.04734857870733524,0.02367428935366762,0.001544747780469815,0.01841063023824327,0.0013964370009489357,0.2230591310071759,nan,nan,0.9830714499985334
4,16,6.0,113,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.00047480060520079204,0.01573066101561844,4.571694815698466e-06,0.04734857870733524,0.028409147224401143,0.001831863980312849,0.015729763288738038,0.0013964370009489357,0.2230591310071759,nan,nan,2.138334212009795
4,16,6.0,113,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.0005312342732533387,0.013895563578236606,4.437285612703793e-06,0.04734857870733524,0.03314400509513467,0.002107347785905962,0.013899371715687727,0.0013964370009489357,0.2230591310071759,nan,nan,0.6383221420110203
4,16,6.0,113,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.0005851444260402324,0.012304754843912854,3.8668959928341615e-06,0.04734857870733524,0.0378788629658682,0.002369543612199246,0.012339463340746122,0.0013964370009489357,0.2230591310071759,nan,nan,0.450376515975222
4,16,6.0,113,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.0006395319723872515,0.010758290304533425,3.058050324389584e-06,0.04734857870733524,0.04261372083660172,0.002616933774229219,0.010764150046822631,0.0013964370009489357,0.2230591310071759,nan,nan,0.43846825798391365
4,16,6.0,113,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.0006968904773533686,0.011295779752327999,2.272888309509199e-06,0.04734857870733524,0.04734857870733524,0.002848134654578311,0.011301981101520286,0.0013964370009489357,0.2230591310071759,nan,nan,0.5182738000003155
4,16,7.0,149,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,3.5300840071802565e-05,0.008863124753213348,1.9317154212739908e-08,0.046583498917155776,0.004658349891715578,0.0003173212623778411,0.008852918618123928,0.0013964370009489357,0.2230591310071759,nan,nan,1.89290976698976
4,16,7.0,149,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,6.853386816586478e-05,0.007819243910671724,7.609103709674628e-08,0.046583498917155776,0.009316699783431156,0.0006325338003874946,0.007802018362070218,0.0013964370009489357,0.2230591310071759,nan,nan,0.5285029970109463
4,16,7.0,149,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,9.789786492702429e-05,0.007894840910437012,1.6481371563443414e-07,0.046583498917155776,0.013975049675146732,0.0009435722360524424,0.007900504107499802,0.0013964370009489357,0.2230591310071759,nan,nan,0.1881637740007136
