trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p6_cross_mode_repetition_trace_layered_memory_x_high_0|107|65,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,65,107,0.100000,0.100000,0.283198,0.183198,0.000000,0.183198,0.000000,False,False,False,0.000000,0.289398,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|108|66,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,66,108,0.120000,0.120000,0.137226,0.017226,0.000000,0.017226,0.000000,False,False,False,0.000000,0.164920,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|109|67,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,67,109,0.140000,0.140000,0.317473,0.177473,0.000000,0.177473,0.000000,False,False,False,0.000000,0.285105,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|110|68,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,68,110,0.160000,1.660000,2.137047,1.977047,1.500000,0.477047,3.600000,True,True,False,4.540616,2.267222,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|111|69,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,69,111,0.180000,0.180000,0.343229,0.163229,0.000000,0.163229,0.000000,False,False,False,0.000000,0.274422,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|112|70,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,70,112,0.200000,0.200000,0.385253,0.185253,0.000000,0.185253,0.000000,False,False,False,0.000000,0.290940,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|113|71,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,71,113,0.220000,0.220000,0.311200,0.091200,0.000000,0.091200,0.000000,False,False,False,0.000000,0.220400,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|114|72,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,72,114,0.240000,1.323333,1.725762,1.485762,1.083333,0.402429,2.600000,False,True,False,3.132405,1.714266,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|115|73,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,73,115,0.260000,0.510000,0.755299,0.495299,0.250000,0.245299,0.600000,False,True,False,0.296248,0.601249,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|116|74,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,74,116,0.280000,0.280000,0.384983,0.104983,0.000000,0.104983,0.000000,False,False,False,0.000000,0.230737,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|117|75,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,75,117,0.300000,0.550000,0.790704,0.490704,0.250000,0.240704,0.600000,False,True,False,0.284761,0.597114,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|118|76,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,76,118,0.320000,0.320000,0.332988,0.012988,0.000000,0.012988,0.000000,False,False,False,0.000000,0.161741,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|119|77,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,77,119,0.000000,0.666667,0.997453,0.997453,0.666667,0.330786,1.600000,True,True,False,1.731633,1.163988,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|120|78,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,78,120,0.020000,0.020000,0.052448,0.032448,0.000000,0.032448,0.000000,False,False,False,0.000000,0.176336,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|121|79,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,79,121,0.040000,0.040000,0.057266,0.017266,0.000000,0.017266,0.000000,False,False,False,0.000000,0.164949,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|122|80,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,80,122,0.060000,0.310000,0.568436,0.508436,0.250000,0.258436,0.600000,True,True,False,0.329090,0.613072,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|123|81,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,81,123,0.080000,1.580000,2.064982,1.984982,1.500000,0.484982,3.600000,True,True,False,4.560454,2.274364,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|124|82,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,82,124,0.100000,0.766667,1.097034,0.997034,0.666667,0.330367,1.600000,True,True,False,1.730584,1.163610,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|125|83,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,83,125,0.120000,0.120000,0.286773,0.166773,0.000000,0.166773,0.000000,False,False,False,0.000000,0.277080,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|126|84,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,84,126,0.140000,1.806667,2.516155,2.376155,1.666667,0.709488,4.000000,False,True,True,5.610386,2.670739,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|127|85,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,85,127,0.160000,1.660000,2.121957,1.961957,1.500000,0.461957,3.600000,False,True,False,4.502893,2.253642,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|128|86,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,86,128,0.180000,1.846667,2.475681,2.295681,1.666667,0.629014,4.000000,True,True,True,5.409202,2.598313,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|129|87,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,87,129,0.200000,0.866667,1.197890,0.997890,0.666667,0.331223,1.600000,False,True,False,1.732726,1.164381,False
