analysis_scope,unit_id,intervention,num_pairs,rescued_failure_count,induced_failure_count,discordant_pair_count,paired_delta_lfr,net_rescue_rate,effect_direction,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05,interpretation,source_artifact
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r010,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,38,23,61,-0.001500,0.001500,rescues_more_than_induces,0.0721774,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r030,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,123,63,186,-0.006000,0.006000,rescues_more_than_induces,1.29032e-05,0.00365161,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r050,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,219,125,344,-0.009400,0.009400,rescues_more_than_induces,4.55056e-07,0.000151989,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r070,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,320,183,503,-0.013700,0.013700,rescues_more_than_induces,1.05498e-09,4.19882e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r090,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,399,221,620,-0.017800,0.017800,rescues_more_than_induces,8.23021e-13,3.87643e-10,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r110,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,482,251,733,-0.023100,0.023100,rescues_more_than_induces,1.06635e-17,5.64099e-15,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r130,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,542,348,890,-0.019400,0.019400,rescues_more_than_induces,8.32813e-11,3.50614e-08,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
google_rl_qec_v2_decoder_pathway,surface_code_distance_3_5_7_traditional_calibration_d7_0+0j_Z_r150,tesseract_decoder_with_si1000_prior->tesseract_decoder_with_frequency_calibrated_prior,10000,630,403,1033,-0.022700,0.022700,rescues_more_than_induces,1.66943e-12,7.71277e-10,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_rl_qec_v2_decoder_effect_matrix.csv
measured_runtime_deadline,deadline_us=4.000000,drop_late_decoder_prediction,10000,185,3257,3442,0.307200,-0.307200,induces_more_than_rescues,0,0,True,Exact paired test over discordant rescued/induced transitions.,data/results/p8_decoder_runtime_trace.csv
measured_runtime_deadline,deadline_us=5.000000,drop_late_decoder_prediction,10000,32,668,700,0.063600,-0.063600,induces_more_than_rescues,8.16203e-156,4.66052e-153,True,Exact paired test over discordant rescued/induced transitions.,data/results/p8_decoder_runtime_trace.csv
measured_runtime_deadline,deadline_us=6.000000,drop_late_decoder_prediction,10000,2,44,46,0.004200,-0.004200,induces_more_than_rescues,3.07523e-11,1.33773e-08,True,Exact paired test over discordant rescued/induced transitions.,data/results/p8_decoder_runtime_trace.csv
measured_runtime_deadline,deadline_us=7.000000,drop_late_decoder_prediction,10000,0,0,0,0.000000,0.000000,no_net_transition,1,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p8_decoder_runtime_trace.csv
measured_runtime_deadline,deadline_us=8.000000,drop_late_decoder_prediction,10000,0,0,0,0.000000,0.000000,no_net_transition,1,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p8_decoder_runtime_trace.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r010,switch_decoder_pathway,10000,74,46,120,-0.002800,0.002800,rescues_more_than_induces,0.0133763,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r020,switch_decoder_pathway,10000,163,78,241,-0.008500,0.008500,rescues_more_than_induces,4.59525e-08,1.67267e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r030,switch_decoder_pathway,10000,221,125,346,-0.009600,0.009600,rescues_more_than_induces,2.76263e-07,9.50345e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r040,switch_decoder_pathway,10000,330,166,496,-0.016400,0.016400,rescues_more_than_induces,1.51063e-13,7.29634e-11,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r050,switch_decoder_pathway,10000,361,200,561,-0.016100,0.016100,rescues_more_than_induces,1.03634e-11,4.63244e-09,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r060,switch_decoder_pathway,10000,424,230,654,-0.019400,0.019400,rescues_more_than_induces,2.90524e-14,1.42938e-11,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r070,switch_decoder_pathway,10000,469,250,719,-0.021900,0.021900,rescues_more_than_induces,2.53738e-16,1.30929e-13,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r080,switch_decoder_pathway,10000,632,334,966,-0.029800,0.029800,rescues_more_than_induces,5.80507e-22,3.2044e-19,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r090,switch_decoder_pathway,10000,656,330,986,-0.032600,0.032600,rescues_more_than_induces,1.51579e-25,8.51874e-23,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_X_r100,switch_decoder_pathway,10000,687,374,1061,-0.031300,0.031300,rescues_more_than_induces,4.96472e-22,2.74549e-19,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_Z_r010,switch_decoder_pathway,10000,58,39,97,-0.001900,0.001900,rescues_more_than_induces,0.0670518,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
real_decoder_pathway,surface_code_reinforcement_learning_Z_r020,switch_decoder_pathway,10000,147,61,208,-0.008600,0.008600,rescues_more_than_induces,2.25054e-09,8.77711e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p7_google_rl_qec_decoder_effect_matrix.csv
