analysis_scope,unit_id,intervention,num_pairs,rescued_failure_count,induced_failure_count,discordant_pair_count,paired_delta_lfr,net_rescue_rate,effect_direction,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05,interpretation,source_artifact
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r21|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1962,1700,3662,-0.026200,0.026200,rescues_more_than_induces,1.59784e-05,0.0598072,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r25|dem_correlations,dem_correlations,10000,1889,1788,3677,-0.010100,0.010100,rescues_more_than_induces,0.0991092,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r25|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,2016,1877,3893,-0.013900,0.013900,rescues_more_than_induces,0.0269709,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d3_at_q8_5_X_r25|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,2104,1954,4058,-0.015000,0.015000,rescues_more_than_induces,0.0193243,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r05|dem_correlations,dem_correlations,10000,772,604,1376,-0.016800,0.016800,rescues_more_than_induces,6.56578e-06,0.0260071,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r05|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,770,592,1362,-0.017800,0.017800,rescues_more_than_induces,1.56652e-06,0.0067376,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r05|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,795,621,1416,-0.017400,0.017400,rescues_more_than_induces,4.16647e-06,0.0169659,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r09|dem_correlations,dem_correlations,10000,1243,1036,2279,-0.020700,0.020700,rescues_more_than_induces,1.57499e-05,0.0590306,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r09|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1273,986,2259,-0.028700,0.028700,rescues_more_than_induces,1.68851e-09,9.10951e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r09|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1293,983,2276,-0.031000,0.031000,rescues_more_than_induces,8.77056e-11,4.97992e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r13|dem_correlations,dem_correlations,10000,1529,1400,2929,-0.012900,0.012900,rescues_more_than_induces,0.0180099,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r13|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1501,1348,2849,-0.015300,0.015300,rescues_more_than_induces,0.00439516,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r13|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1567,1425,2992,-0.014200,0.014200,rescues_more_than_induces,0.00993335,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r17|dem_correlations,dem_correlations,10000,1717,1643,3360,-0.007400,0.007400,rescues_more_than_induces,0.20789,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r17|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1738,1537,3275,-0.020100,0.020100,rescues_more_than_induces,0.000472617,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r17|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1773,1570,3343,-0.020300,0.020300,rescues_more_than_induces,0.00047467,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r21|dem_correlations,dem_correlations,10000,1936,1800,3736,-0.013600,0.013600,rescues_more_than_induces,0.0271845,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r21|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,1964,1729,3693,-0.023500,0.023500,rescues_more_than_induces,0.000117261,0.370779,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r21|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,1960,1792,3752,-0.016800,0.016800,rescues_more_than_induces,0.00639593,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r25|dem_correlations,dem_correlations,10000,2080,1996,4076,-0.008400,0.008400,rescues_more_than_induces,0.193577,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r25|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,2056,1919,3975,-0.013700,0.013700,rescues_more_than_induces,0.030985,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_24_d5_at_q6_5_X_r25|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,2144,2015,4159,-0.012900,0.012900,rescues_more_than_induces,0.0471543,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_25_d3_at_q4_5_X_r05|dem_correlations,dem_correlations,10000,451,313,764,-0.013800,0.013800,rescues_more_than_induces,6.71682e-07,0.00300645,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_25_d3_at_q4_5_X_r05|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,557,375,932,-0.018200,0.018200,rescues_more_than_induces,2.72755e-09,1.45542e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_25_d3_at_q4_5_X_r05|dem_rl_shared_correlated_matching,dem_rl_shared_correlated_matching,10000,514,338,852,-0.017600,0.017600,rescues_more_than_induces,1.78546e-09,9.61292e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_25_d3_at_q4_5_X_r09|dem_correlations,dem_correlations,10000,841,545,1386,-0.029600,0.029600,rescues_more_than_induces,1.80796e-15,1.11027e-11,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
real_decoder_prior,sycamore_surface_code_d3_d5_sample_25_d3_at_q4_5_X_r09|dem_rl_isolated_correlated_matching,dem_rl_isolated_correlated_matching,10000,975,657,1632,-0.031800,0.031800,rescues_more_than_induces,3.5034e-15,2.14688e-11,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_google_decoder_priors_prior_effects.csv
