run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,30,72,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.151885,0.071885,False,False,False,0.000000,0.000000,0.205913,False,36,5,"[3,6,10,17,18]",True,True,False,False,,none,,none,no_failure,f945b0bdc36bfc0c390106fd90fa84b2280e3f0e181e5dd64a9860fc61279448,709772670281cff17a1d61f8401f6e965d9390cfa22e7538cb419c4a096aed26
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,31,73,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.100000,0.100000,0.144677,0.044677,False,False,False,0.000000,0.000000,0.185508,False,36,2,"[8,9]",False,False,False,False,,none,,none,no_failure,9e9af25dbd6d9e29c55c53bea4de37e95a6ab8db28d863bbc832c46efaa46236,9293c5284a29d7aa7ec0c15ca55e8348a836e238ba0451d8cd1ea76cc7bde92a
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,32,74,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.120000,0.120000,0.160274,0.040274,False,False,False,0.000000,0.000000,0.182206,False,36,1,[4],False,False,False,False,,none,,none,no_failure,e47d80c952b5ad2471b454fb58a81d56d8be7f1334778ccba41b81ee97f3773c,63bc3d1f5ab8594fcdb78ebed9f255f96cfcc767931d95d759c049631c730719
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,33,75,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.168695,0.028695,False,False,False,0.000000,0.000000,0.173521,False,36,2,"[24,27]",True,True,False,False,,none,,none,no_failure,8227c2458c90dfa2b5af50f1fe8bc0df8750537f028b9efc694dc8ce405c324e,2e792394fea68a9ed028396330e7bc93adfe5af8fcfec29548fe57a3b90ef357
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,34,76,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.180923,0.020923,False,False,False,0.000000,0.000000,0.167692,False,36,1,[8],False,False,False,False,,none,,none,no_failure,8ca9652e63bca97ecbb01699a5b925b181f078b62ef251aedc90bda44bc78fe2,a4019fd75cc81ed37c4a9054cdc725117cd81193247774cf0a778e49f63e6879
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,35,77,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.234476,0.054476,False,False,False,0.000000,0.000000,0.192857,False,36,3,"[8,20,21]",False,False,False,False,,none,,none,no_failure,699fead0a94a983d31af35a2805a29d2ad8bad10e7db0427c29ba33c00d61d5f,d9c3d81a65012d35d31d682da2e4ffba98f8c1de426a7c62ed07539c472dc713
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,36,78,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.213775,0.013775,False,False,False,0.000000,0.000000,0.162331,False,36,0,[],False,False,False,False,,none,,none,no_failure,42b85b2a89e38bcbefdd024f8221546c33346aaf41d5cffae90011e1babba835,57b5952ccf1d46901feca9a3e791a617e0c9e4364b5834cbc4be6ace60b9086f
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,37,79,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.269000,0.049000,False,False,False,0.000000,0.000000,0.188750,False,36,2,"[14,18]",False,False,False,False,,none,,none,no_failure,43ffdaf63cadd502ce4da932d01d4814be8eb14c10dff9b1a1dcb36a3945ff76,f9ca1d8f531e1fc4d189147b5a925e9cadfdfd354e609443d2355dc5f1b49296
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,38,80,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.283517,0.043517,False,False,False,0.000000,0.000000,0.184638,False,36,1,[7],True,True,False,False,,none,,none,no_failure,1dd78d6495b3789263093b010b551a5f4910d13caba43aef8b4c8491b03734e9,40d4938d2c0a41e9ac1dc96eaead6720f09e095c1136f6722a8ac70de282fdfa
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,39,81,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.322315,0.062315,False,False,False,0.000000,0.000000,0.198736,False,36,4,"[2,6,31,35]",False,False,False,False,,none,,none,no_failure,dac803b5586b4319474f5d39807ce1d9efef2ef1ab4c2b3de274635c44d0377d,bd684a77918b45637d71cf3094e102c131bf39960f9046f4e5e40b68edcdbb29
