train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
reinforcement_learning,traditional_calibration,always_correlated_matching,7,3.000000,13.962000,1.497000,0.999999,0.000002,0.132365,0.132365,0.132365,0.999999,20
reinforcement_learning,traditional_calibration,always_tesseract,7,3.000000,13.962000,1.497000,0.999999,0.000002,0.132365,0.132365,0.132365,0.999999,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,7,3.000000,13.962000,1.497000,0.999999,0.000002,0.132365,0.132365,0.132365,0.999999,20
reinforcement_learning,traditional_calibration,burden_threshold,7,3.000000,13.962000,1.497000,0.999999,0.000002,0.132365,0.132365,0.132365,0.999999,20
reinforcement_learning,traditional_calibration,always_correlated_matching,8,3.000000,13.962000,1.497000,1.000000,0.000034,0.132365,0.132365,0.132364,1.000000,20
reinforcement_learning,traditional_calibration,always_tesseract,8,3.000000,13.962000,1.497000,1.000000,0.000034,0.132364,0.132365,0.132364,1.000000,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,8,3.000000,13.962000,1.497000,1.000000,0.000034,0.132364,0.132365,0.132364,1.000000,20
reinforcement_learning,traditional_calibration,burden_threshold,8,3.000000,13.962000,1.497000,1.000000,0.000034,0.132364,0.132365,0.132364,1.000000,20
traditional_calibration,reinforcement_learning,always_correlated_matching,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.129550,0.129550,0.126162,0.180962,20
traditional_calibration,reinforcement_learning,always_tesseract,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.126162,0.129550,0.126162,0.180962,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.126162,0.129550,0.126162,0.180962,20
traditional_calibration,reinforcement_learning,burden_threshold,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.126356,0.129550,0.126162,0.180962,20
traditional_calibration,reinforcement_learning,always_correlated_matching,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.116331,0.116331,0.099362,0.940448,20
traditional_calibration,reinforcement_learning,always_tesseract,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.099362,0.116331,0.099362,0.940448,20
traditional_calibration,reinforcement_learning,failureops_cycle_threshold,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.099362,0.116331,0.099362,0.940448,20
traditional_calibration,reinforcement_learning,burden_threshold,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.099909,0.116331,0.099362,0.940448,20
traditional_calibration,reinforcement_learning,always_correlated_matching,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.111520,0.111520,0.093947,0.999988,20
