experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,46,color_code_distance_5_traditional_calibration_X_r046,unchanged_failure,2308,120.293761,40.081456,39.941941,40.270364,1.000000,0.017561,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r046
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,46,color_code_distance_5_traditional_calibration_X_r046,unchanged_success,5111,115.280767,38.302876,38.318724,38.659167,1.000000,0.018473,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r046
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,50,color_code_distance_5_traditional_calibration_X_r050,rescued,1551,133.559639,44.552547,44.867827,44.139265,1.000000,0.015907,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r050
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,50,color_code_distance_5_traditional_calibration_X_r050,induced,1289,135.957331,45.175330,45.522110,45.259891,1.000000,0.016561,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r050
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,50,color_code_distance_5_traditional_calibration_X_r050,unchanged_failure,2428,132.295717,43.823311,44.274712,44.197694,1.000000,0.016979,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r050
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,50,color_code_distance_5_traditional_calibration_X_r050,unchanged_success,4732,127.656805,41.894759,42.999789,42.762257,1.000000,0.017211,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r050
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,6,color_code_distance_5_traditional_calibration_Z_r006,rescued,272,20.889706,5.558824,7.500000,7.830882,0.716912,0.124183,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,6,color_code_distance_5_traditional_calibration_Z_r006,induced,189,20.735450,5.767196,7.465608,7.502646,0.724868,0.116304,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,6,color_code_distance_5_traditional_calibration_Z_r006,unchanged_failure,567,20.253968,5.772487,7.262787,7.218695,0.682540,0.123620,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,6,color_code_distance_5_traditional_calibration_Z_r006,unchanged_success,8972,14.523406,4.360678,5.076572,5.086157,0.291685,0.150428,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,10,color_code_distance_5_traditional_calibration_Z_r010,rescued,354,30.370056,9.341808,10.045198,10.983051,0.951977,0.082203,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,10,color_code_distance_5_traditional_calibration_Z_r010,induced,259,31.474903,9.756757,10.629344,11.088803,0.972973,0.075590,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,10,color_code_distance_5_traditional_calibration_Z_r010,unchanged_failure,822,29.349148,8.897810,10.093674,10.357664,0.947689,0.085111,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,10,color_code_distance_5_traditional_calibration_Z_r010,unchanged_success,8565,24.229539,7.572329,8.219731,8.437478,0.799533,0.096501,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,14,color_code_distance_5_traditional_calibration_Z_r014,rescued,525,41.083810,12.889524,14.081905,14.112381,0.998095,0.062608,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,14,color_code_distance_5_traditional_calibration_Z_r014,induced,416,41.350962,13.262019,14.257212,13.831731,0.995192,0.064580,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,14,color_code_distance_5_traditional_calibration_Z_r014,unchanged_failure,1123,40.040962,12.433660,13.867320,13.739982,0.991986,0.062036,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,14,color_code_distance_5_traditional_calibration_Z_r014,unchanged_success,7936,34.376134,10.713584,11.899824,11.762727,0.968876,0.069168,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,18,color_code_distance_5_traditional_calibration_Z_r018,rescued,616,50.753247,16.444805,17.163961,17.144481,0.998377,0.048651,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,18,color_code_distance_5_traditional_calibration_Z_r018,induced,460,51.497826,16.395652,17.347826,17.754348,1.000000,0.048497,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,18,color_code_distance_5_traditional_calibration_Z_r018,unchanged_failure,1245,50.441767,15.809639,17.343775,17.288353,1.000000,0.048518,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,18,color_code_distance_5_traditional_calibration_Z_r018,unchanged_success,7679,44.102097,14.010678,15.134262,14.957156,0.997135,0.054450,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,22,color_code_distance_5_traditional_calibration_Z_r022,rescued,808,60.566832,19.287129,20.304455,20.975248,1.000000,0.043645,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r022
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,22,color_code_distance_5_traditional_calibration_Z_r022,induced,585,62.314530,20.047863,21.095726,21.170940,1.000000,0.041967,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r022
